,bm
2010-10-14,-0.003477337
2010-10-15,-0.019197027
2010-10-18,-0.007118055999999999
2010-10-19,0.017921447
2010-10-20,-0.000881292
2010-10-21,0.017162976
2010-10-22,0.014416352
2010-10-25,0.003552265
2010-10-26,-0.007964905999999999
2010-10-27,0.0026754770000000003
2010-10-28,0.0
2010-10-29,0.010675769
2010-11-01,0.002642545
2010-11-02,-0.0026355809999999997
2010-11-03,0.013205546
2010-11-04,0.004344478
2010-11-05,-0.004325685
2010-11-08,0.004344478
2010-11-09,0.0
2010-11-10,-0.009516977
2010-11-11,-0.016592692
2010-11-12,-0.003552265
2010-11-15,0.0044543429999999995
2010-11-16,0.000887883
2010-11-17,0.008866133
2010-11-18,-0.001758599
2010-11-19,0.009684546
2010-11-22,-0.011334084
2010-11-23,0.002644805
2010-11-24,0.0052780480000000005
2010-11-25,-0.000875453
2010-11-26,-0.00087622
2010-11-29,0.000876988
2010-11-30,0.024517484
2010-12-01,0.001710502
2010-12-02,0.006825685
2010-12-03,0.0033897059999999997
2010-12-06,-0.001690275
2010-12-07,0.006770249
2010-12-08,0.0016794660000000001
2010-12-09,-0.006711164
2010-12-10,0.000845138
2010-12-13,0.000844424
2010-12-14,0.005901396
2010-12-15,0.002514006
2010-12-16,0.01003308
2010-12-17,-0.008276722
2010-12-20,0.008345798
2010-12-21,-0.0057939309999999996
2010-12-22,0.006660871
2010-12-23,-0.00413606
2010-12-24,0.004153238
2010-12-27,-0.001653075
2010-12-28,0.005798721
2010-12-29,0.001646266
2010-12-30,0.01315966
2010-12-31,-0.00081221
2011-01-03,-0.007311410999999999
2011-01-04,-0.013911666000000001
2011-01-05,0.0
2011-01-06,-0.008299579
2011-01-07,-0.0008350839999999999
2011-01-10,0.021773587
2011-01-11,0.0040987720000000005
2011-01-12,-0.004896673
2011-01-13,0.0032812559999999998
2011-01-14,-0.009811572
2011-01-17,0.013211724
2011-01-18,0.010595108
2011-01-19,-0.014516683999999998
2011-01-20,-0.001637714
2011-01-21,0.007377343000000001
2011-01-24,0.0
2011-01-25,0.009765896999999999
2011-01-26,0.007250299
2011-01-27,0.008801316
2011-01-28,-0.008724528
2011-02-08,-0.014398395
2011-02-09,-0.019481996
2011-02-10,-0.022349626
2011-02-11,0.005926383
2011-02-14,0.00673376
2011-02-15,-0.000836658
2011-02-16,0.004184519
2011-02-17,0.006666425
2011-02-18,-0.001654444
2011-02-21,-0.014096225
2011-02-22,-0.007569676
2011-02-23,0.00508571
2011-02-24,0.006745106999999999
2011-02-25,-0.0041880170000000005
2011-03-01,0.00168088
2011-03-02,0.015954119
2011-03-03,0.0
2011-03-04,-0.007438303
2011-03-07,0.00832722
2011-03-08,-0.0066081080000000006
2011-03-09,-0.018285833
2011-03-10,-0.007620951
2011-03-11,0.001705261
2011-03-14,-0.011923456
2011-03-15,-0.020691223
2011-03-16,0.015845698000000002
2011-03-17,0.003466078
2011-03-18,0.010362317
2011-03-21,-0.0017081779999999999
2011-03-22,0.007705774
2011-03-23,0.003398343
2011-03-24,0.0033868329999999997
2011-03-25,-0.005908674
2011-03-28,0.008489815
2011-03-29,0.001684584
2011-03-30,0.0016794660000000001
2011-03-31,0.006711164
2011-04-01,0.022500884
2011-04-06,-0.001631039
2011-04-07,-0.002448336
2011-04-08,-0.0049109159999999995
2011-04-11,-0.014800984
2011-04-12,0.009181059
2011-04-13,-0.000827662
2011-04-14,-0.010761765
2011-04-15,-0.006694321
2011-04-18,0.002529007
2011-04-19,0.024369400000000003
2011-04-20,0.013945893999999999
2011-04-21,0.0016169620000000002
2011-04-22,-0.016154503
2011-04-25,0.013957351000000002
2011-04-26,0.008097968
2011-04-27,-0.004016459
2011-04-28,0.0032256859999999997
2011-04-29,-0.009645944
2011-05-03,-0.003246631
2011-05-04,0.008141909000000001
2011-05-05,0.0032309009999999996
2011-05-06,0.0032204959999999998
2011-05-09,0.003210157
2011-05-10,-0.012799541000000001
2011-05-11,0.008915429
2011-05-12,-0.0048201879999999996
2011-05-13,-0.012105544
2011-05-16,0.0
2011-05-17,0.006535701
2011-05-18,-0.00568326
2011-05-19,-0.007347229
2011-05-20,-0.008222272
2011-05-23,-0.0033166259999999996
2011-05-24,0.004160144
2011-05-25,0.004969689
2011-05-26,-0.004122422
2011-05-27,0.0066222780000000005
2011-05-30,0.019738372
2011-05-31,0.0
2011-06-01,0.0
2011-06-02,-0.00161394
2011-06-03,0.002424823
2011-06-07,-0.004029404
2011-06-08,0.005662669
2011-06-09,-0.030571172
2011-06-10,-0.00414979
2011-06-13,0.011667377
2011-06-14,-0.013179085
2011-06-15,-0.005009295
2011-06-16,-0.003355582
2011-06-17,-0.00673376
2011-06-20,0.008475416
2011-06-21,-0.009245063000000001
2011-06-22,-0.004241305
2011-06-23,-0.020442196
2011-06-24,0.009564276
2011-06-27,-0.000859539
2011-06-28,0.013792586
2011-06-29,0.006802469
2011-06-30,0.011825038000000001
2011-07-01,0.001668252
2011-07-04,0.0
2011-07-05,0.011667377
2011-07-06,-0.0032947709999999997
2011-07-07,-0.010743965
2011-07-08,-0.012532568999999999
2011-07-11,-0.007612216
2011-07-12,0.0059667999999999995
2011-07-13,0.0
2011-07-14,0.0025417029999999998
2011-07-15,-0.0050705179999999996
2011-07-18,0.011045193
2011-07-19,0.015965213
2011-07-20,0.006616797
2011-07-21,-0.005751081
2011-07-22,0.0
2011-07-25,0.011570943
2011-07-26,-0.006537922
2011-07-27,-0.000820662
2011-07-28,-0.004115632
2011-07-29,-0.009916988
2011-08-01,-0.017529126000000003
2011-08-02,-0.004248506
2011-08-03,-0.049487378
2011-08-04,-0.02513614
2011-08-05,-0.06077252599999999
2011-08-08,0.057842977999999996
2011-08-09,-0.013903134
2011-08-10,0.028195757999999998
2011-08-11,-0.009139196
2011-08-12,0.011069694
2011-08-15,-0.008211993
2011-08-16,-0.017480532
2011-08-17,-0.029961479
2011-08-18,-0.009653466999999999
2011-08-19,0.015596634
2011-08-22,0.024949766
2011-08-23,-0.003745185
2011-08-24,-0.007518528000000001
2011-08-25,0.005682901
2011-08-26,0.016949803
2011-08-29,0.001850523
2011-08-30,0.017561319
2011-08-31,0.0018152270000000002
2011-09-01,-0.021758048
2011-09-02,-0.012048375
2011-09-05,0.0009386889999999999
2011-09-06,0.012183872
2011-09-07,-0.008333648
2011-09-08,0.000931768
2011-09-09,-0.008393322
2011-09-13,-0.008466924
2011-09-14,0.015179698
2011-09-15,0.00654118
2011-09-16,-0.009283455
2011-09-19,0.0009352610000000001
2011-09-20,-0.014980739
2011-09-21,-0.039923802
2011-09-22,-0.004950988
2011-09-23,0.004975622
2011-09-26,0.013862228
2011-09-27,-0.01074378
2011-09-28,0.015796792
2011-09-29,-0.013606251000000001
2011-09-30,-0.016748821
2011-10-03,0.020039343
2011-10-04,0.004912082
2011-10-05,0.012707922
2011-10-06,0.018338438000000002
2011-10-07,0.001896956
2011-10-11,0.006621630999999999
2011-10-12,-0.011277792
2011-10-13,0.009506651999999999
2011-10-14,-0.011299016
2011-10-17,0.0019033960000000001
2011-10-18,-0.000951182
2011-10-19,-0.014270966999999999
2011-10-20,0.012548458
2011-10-21,0.022878087000000002
2011-10-24,-0.0018980770000000002
2011-10-25,0.010658583000000001
2011-10-26,0.023971321
2011-10-27,-0.011236478999999999
2011-10-28,-0.011364171999999999
2011-10-31,-0.011494801
2011-11-01,0.007751465999999999
2011-11-02,0.003847181
2011-11-03,0.001914964
2011-11-04,0.001913808
2011-11-07,0.0019076529999999998
2011-11-08,-0.023808989
2011-11-09,-0.011707866
2011-11-10,0.021716976000000002
2011-11-11,0.00579738
2011-11-14,0.001920482
2011-11-15,-0.023968809
2011-11-16,-0.003927746
2011-11-17,-0.015780688
2011-11-18,-0.013426625
2011-11-21,-0.008734043
2011-11-22,-0.02049188
2011-11-23,0.009203631
2011-11-24,-0.003316006
2011-11-25,0.013934871000000001
2011-11-28,-0.0051275570000000005
2011-11-29,0.022679694
2011-11-30,0.010082014
2011-12-01,-0.005588214
2011-12-02,-0.006424298
2011-12-05,-0.010099727
2011-12-06,0.0002032
2011-12-07,-0.02060723
2011-12-08,0.019583332
2011-12-09,-0.011647455
2011-12-12,0.003512934
2011-12-13,-0.010917561000000001
2011-12-14,-0.007498792
2011-12-15,-0.005245923
2011-12-16,-0.007385235
2011-12-19,0.031882516
2011-12-20,0.014828067
2011-12-21,0.012585222
2011-12-22,0.00220583
2011-12-23,-0.003000139
2011-12-26,-0.002007863
2011-12-27,-0.00502449
2011-12-28,0.010102374
2011-12-29,-0.011002256
2011-12-30,0.001012055
2012-01-02,0.008080311
2012-01-03,0.004009084
2012-01-04,0.0
2012-01-05,-0.003993076
2012-01-06,0.006012313
2012-01-09,0.009961506
2012-01-10,0.0
2012-01-11,0.008873568
2012-01-12,-0.001954276
2012-01-13,-0.013711848
2012-01-16,0.003973251
2012-01-17,0.016814955
2012-01-18,0.011671148000000001
2012-01-30,0.003847181
2012-01-31,0.009579836999999999
2012-02-01,0.004743224
2012-02-02,0.007553827
2012-02-03,0.002811755
2012-02-04,-0.003739311
2012-02-06,0.003753346
2012-02-07,0.010280044
2012-02-08,0.0037012620000000003
2012-02-09,-0.00461012
2012-02-10,0.00092678
2012-02-13,0.004624759
2012-02-14,0.006446787
2012-02-15,0.002744869
2012-02-16,0.0
2012-02-17,-0.00547471
2012-02-20,-0.0036707000000000003
2012-02-21,0.004605882
2012-02-22,0.000915032
2012-02-23,0.011906133000000001
2012-02-24,0.012669483999999998
2012-02-29,0.0008921360000000001
2012-03-01,-0.008927443
2012-03-02,-0.0036045609999999996
2012-03-03,-0.007232832
2012-03-05,-0.016394225
2012-03-06,0.007409384000000001
2012-03-07,0.005512554
2012-03-08,0.005484728
2012-03-09,-0.007272285999999999
2012-03-12,0.026557251
2012-03-13,-0.005352618000000001
2012-03-14,-0.0044837359999999995
2012-03-15,-0.00090173
2012-03-16,-0.0018027260000000002
2012-03-19,-0.00903464
2012-03-20,0.001824835
2012-03-21,0.009098018000000001
2012-03-22,-0.008115809
2012-03-23,-0.0036349520000000003
2012-03-26,0.011860278
2012-03-27,-0.004507995
2012-03-28,-0.01268097
2012-03-29,0.007338995
2012-03-30,-0.000911586
2012-04-02,-0.025523804
2012-04-03,0.002806496
2012-04-05,-0.011194568
2012-04-06,0.010379511
2012-04-09,-0.015872938
2012-04-10,0.006640017
2012-04-11,0.014138281
2012-04-12,-0.006506694
2012-04-13,0.008419489
2012-04-16,-0.007420695
2012-04-17,-0.008411613
2012-04-18,-0.0028276559999999996
2012-04-19,-0.011342698
2012-04-20,-0.000954399
2012-04-23,0.006697206999999999
2012-04-24,0.003803295
2012-04-25,-0.003788884
2012-04-26,-0.009504501
2012-04-27,0.002879214
2012-04-30,0.019138816
2012-05-02,-0.008451099
2012-05-03,-0.006629927
2012-05-04,-0.004765842
2012-05-07,-0.010536064
2012-05-08,-0.000968946
2012-05-09,0.0
2012-05-10,-0.005814234000000001
2012-05-11,-0.007796798000000001
2012-05-14,0.001963873
2012-05-15,-0.014704031000000001
2012-05-16,-0.003981155
2012-05-17,-0.001997225
2012-05-18,0.008007512
2012-05-21,-0.008937864
2012-05-22,-0.007012615
2012-05-23,-0.00202002
2012-05-24,-0.008896543
2012-05-25,0.012037146
2012-05-28,0.015121700000000002
2012-05-29,-0.015887802
2012-05-30,0.006054773
2012-05-31,-0.033100835
2012-06-01,0.0045636290000000005
2012-06-04,-0.000411269
2012-06-05,0.014462586000000001
2012-06-06,-0.010795696
2012-06-07,0.005971953
2012-06-08,-0.015554489
2012-06-11,0.010603411
2012-06-12,0.0020563879999999997
2012-06-13,0.0014362479999999998
2012-06-14,0.033211937999999996
2012-06-15,-0.007936013
2012-06-18,0.002997519
2012-06-19,0.000997928
2012-06-20,-0.019920402
2012-06-21,-0.003251301
2012-06-22,-0.0008148089999999999
2012-06-25,-0.002449093
2012-06-26,0.016775663
2012-06-27,-0.004428523
2012-06-28,0.02061539
2012-06-29,0.005940877
2012-07-02,0.012794161
2012-07-03,0.0
2012-07-04,0.0
2012-07-05,-0.012632539
2012-07-06,0.0029528959999999996
2012-07-09,-0.012759063999999999
2012-07-10,0.002982252
2012-07-11,-0.018829707
2012-07-12,0.005049863
2012-07-13,-0.00502449
2012-07-16,0.006060895
2012-07-17,-0.00200725
2012-07-18,0.009052112
2012-07-19,-0.009968834000000001
2012-07-20,-0.009063875
2012-07-23,-0.007722171999999999
2012-07-24,0.010444341
2012-07-25,0.003447232
2012-07-26,0.010102374
2012-07-27,0.009998716
2012-07-30,0.007920304
2012-07-31,-0.0029470959999999997
2012-08-01,0.02266033
2012-08-03,-0.005780624
2012-08-06,0.006784119
2012-08-07,0.002887528
2012-08-08,0.014393555
2012-08-09,0.00283836
2012-08-10,0.001888532
2012-08-13,0.001882505
2012-08-14,-0.001878968
2012-08-15,0.004707495999999999
2012-08-16,-0.009373335
2012-08-17,0.001893892
2012-08-20,0.007553827
2012-08-21,-0.002811755
2012-08-22,-0.003760398
2012-08-23,0.008490979000000001
2012-08-24,-0.009353354
2012-08-27,-0.010386821
2012-08-28,0.000952576
2012-08-29,0.000954167
2012-08-30,0.003810536
2012-08-31,0.00853681
2012-09-03,-0.004703075
