,bm
2010-10-18,-0.020050693999999997
2010-10-19,-0.002669585
2010-10-20,0.011597486
2010-10-21,0.0008803519999999999
2010-10-22,0.00616701
2010-10-25,0.021859615
2010-10-26,0.0044543429999999995
2010-10-27,-0.005322473
2010-10-28,0.008028855
2010-10-29,-0.008850431
2010-11-01,0.014285194
2010-11-02,0.0
2010-11-03,-0.0017593029999999998
2010-11-04,0.006172011
2010-11-05,0.010516708
2010-11-08,-0.001733364
2010-11-09,0.0026057420000000003
2010-11-10,-0.0008671089999999999
2010-11-11,-0.002601225
2010-11-12,-0.02000104
2010-11-15,-0.0035491190000000003
2010-11-16,0.010687703
2010-11-17,-0.004405719000000001
2010-11-18,0.0017686420000000002
2010-11-19,0.0008839610000000001
2010-11-22,0.012357323
2010-11-23,-0.007846856
2010-11-24,-0.0008792989999999999
2010-11-25,0.004397975
2010-11-26,-0.0052549369999999995
2010-11-29,0.0017616970000000002
2010-11-30,0.003514808
2010-12-01,0.01576243
2010-12-02,0.007758915999999999
2010-12-03,0.009408815
2010-12-06,0.0025417029999999998
2010-12-07,-0.000845853
2010-12-08,0.0
2010-12-09,0.010154223
2010-12-10,-0.006699915999999999
2010-12-13,0.0025288420000000003
2010-12-14,-0.002522463
2010-12-15,0.005057684000000001
2010-12-16,0.0016789320000000002
2010-12-17,0.008373756
2010-12-20,-0.004982079
2010-12-21,0.0025035120000000003
2010-12-22,0.0
2010-12-23,0.006660871
2010-12-24,-0.00413606
2010-12-27,0.004153238
2010-12-28,-0.001653075
2010-12-29,0.002484844
2010-12-30,0.00495737
2010-12-31,0.009870304
2011-01-03,0.000812641
2011-01-04,-0.002440368
2011-01-05,-0.016312616999999998
2011-01-06,-0.00165944
2011-01-07,-0.009135318
2011-01-10,0.003352768
2011-01-11,0.016707821
2011-01-12,0.004108873
2011-01-13,-0.000818857
2011-01-14,-0.000819528
2011-01-17,-0.002458372
2011-01-18,0.008217746
2011-01-19,0.011410627
2011-01-20,-0.006448361999999999
2011-01-21,-0.010543563999999998
2011-01-24,-0.000817971
2011-01-25,0.008202024
2011-01-26,0.008951704
2011-01-27,0.007258341999999999
2011-01-28,0.008806171
2011-02-08,-0.006348973000000001
2011-02-09,-0.009584311
2011-02-10,-0.01854934
2011-02-11,-0.032046527000000005
2011-02-14,0.008489815
2011-02-15,0.005891468
2011-02-16,0.001674718
2011-02-17,-0.0033415640000000004
2011-02-18,0.016763838
2011-02-21,0.0
2011-02-22,-0.013189956000000001
2011-02-23,-0.014202216
2011-02-24,0.0
2011-02-25,0.008475416
2011-03-01,0.007561025999999999
2011-03-02,-0.008338851999999999
2011-03-03,0.012614603
2011-03-04,0.007475378
2011-03-07,-0.0074199109999999995
2011-03-08,0.000831099
2011-03-09,-0.0008304089999999999
2011-03-10,-0.011626358
2011-03-11,-0.010924528999999999
2011-03-14,-0.000850163
2011-03-15,-0.022109182
2011-03-16,-0.003478133
2011-03-17,0.0
2011-03-18,0.007853707
2011-03-21,0.006059793000000001
2011-03-22,0.005164494
2011-03-23,0.001711101
2011-03-24,0.004273931
2011-03-25,0.010212394
2011-03-28,-0.003369718
2011-03-29,0.001691705
2011-03-30,0.005906379000000001
2011-03-31,-0.0008394660000000001
2011-04-01,0.005038744
2011-04-06,0.021721302999999997
2011-04-07,0.002452337
2011-04-08,-0.003262523
2011-04-11,0.0
2011-04-12,-0.017184868
2011-04-13,0.005827695999999999
2011-04-14,-0.0008260969999999999
2011-04-15,-0.011599695
2011-04-18,-0.001677523
2011-04-19,-0.005876632
2011-04-20,0.018581547
2011-04-21,0.023216382999999997
2011-04-22,-0.001619585
